Speed (mm/s),Flowrate (Hz),Total Print Height (mm),Layer 1 Height (mm),Layer 2 Height (mm),Layer 3 Height (mm),Layer 4 Height (mm),Layer 5 Height (mm),Layer 6 Height (mm),Layer 7 Height (mm),Layer 8 Height (mm),Layer 9 Height (mm),Layer 10 Height (mm),Designed Angle (deg),Actual Angle (deg),Angle_dev (deg),layer_var,total_height_deviation,Max Span (mm),num_layers,expected_total_height,measured_total_height,total_print_deviation,deposition_ratio,Layer 1 Deviation (mm),Layer 2 Deviation (mm),Layer 3 Deviation (mm),Layer 4 Deviation (mm),Layer 5 Deviation (mm),Layer 6 Deviation (mm),Layer 7 Deviation (mm),Layer 8 Deviation (mm),Layer 9 Deviation (mm),Layer 10 Deviation (mm),layer_height_cv
125,39,107.3933,10.0677,10.3462,10.7846,10.9558,10.8026,10.6504,10.4625,10.7111,10.7907,11.8217,0,0,0,0.489081527,17.6067,20,10,125,107.3933,17.6067,0.312,2.4323,2.1538,1.7154,1.5442,1.6974,1.8496,2.0375,1.7889,1.7093,0.6783,4.298648655
125,39,107.2007,10.079,10.3868,10.6641,10.9361,10.8527,10.7113,10.4468,10.7935,10.6619,11.6685,0,0,0,0.440587009,17.7993,20,10,125,107.2007,17.7993,0.312,2.421,2.1132,1.8359,1.5639,1.6473,1.7887,2.0532,1.7065,1.8381,0.8315,3.899184307
150,35,109.7682,9.8728,10.6834,11.0168,11.2681,11.0357,10.9268,10.6375,11.2768,11.0146,12.0357,0,0,0,0.583233973,15.2318,14,10,125,109.7682,15.2318,0.233333333,2.6272,1.8166,1.4832,1.2319,1.4643,1.5732,1.8625,1.2232,1.4854,0.4643,5.012993821
150,35,109.8232,9.8785,10.6895,11.0214,11.2723,11.0387,10.9298,10.6456,11.2825,11.0192,12.0457,0,0,0,0.583931557,15.1768,14,10,125,109.8232,15.1768,0.233333333,2.6215,1.8105,1.4786,1.2277,1.4613,1.5702,1.8544,1.2175,1.4808,0.4543,5.016173682
150,35,109.8293,9.8723,10.6906,11.0226,11.2736,11.0401,10.9311,10.6471,11.2841,11.0207,12.0471,0,0,0,0.585737921,15.1707,14,10,125,109.8293,15.1707,0.233333333,2.6277,1.8094,1.4774,1.2264,1.4599,1.5689,1.8529,1.2159,1.4793,0.4529,5.031482715
150,35,109.9882,9.8628,10.6734,10.9968,11.2481,11.0157,10.9068,10.6175,11.2568,11.1946,12.2157,0,0,0,0.632268298,15.0118,14,10,125,109.9882,15.0118,0.233333333,2.6372,1.8266,1.5032,1.2519,1.4843,1.5932,1.8825,1.2432,1.3054,0.2843,5.420015717
150,35,109.5893,9.8629,10.6735,10.9969,11.2483,11.0158,10.9069,10.6176,11.2569,10.9947,12.0158,0,0,0,0.580282529,15.4107,14,10,125,109.5893,15.4107,0.233333333,2.6371,1.8265,1.5031,1.2517,1.4842,1.5931,1.8824,1.2431,1.5053,0.4842,4.995564399
150,35,109.4873,9.8527,10.6633,10.9867,11.2381,11.0056,10.8967,10.6074,11.2467,10.9845,12.0056,0,0,0,0.580282529,15.5127,14,10,125,109.4873,15.5127,0.233333333,2.6473,1.8367,1.5133,1.2619,1.4944,1.6033,1.8926,1.2533,1.5155,0.4944,5.000218341
150,35,109.7692,9.8729,10.6835,11.0169,11.2682,11.0358,10.9269,10.6376,11.2769,11.0147,12.0358,0,0,0,0.583233973,15.2308,14,10,125,109.7692,15.2308,0.233333333,2.6271,1.8165,1.4831,1.2318,1.4642,1.5731,1.8624,1.2231,1.4853,0.4642,5.012948153
150,35,109.5878,9.8627,10.6737,10.9967,11.2482,11.0156,10.9067,10.6174,11.2567,10.9945,12.0156,0,0,0,0.580264864,15.4122,14,10,125,109.5878,15.4122,0.233333333,2.6373,1.8263,1.5033,1.2518,1.4844,1.5933,1.8826,1.2433,1.5055,0.4844,4.995475052
100,35,56.1997,3.5583,12.5209,13.3503,13.9924,12.7778,0,0,0,0,0,10,9.87,0.13,6.461003139,6.3003,15,5,62.5,56.1997,6.3003,0.35,8.9417,0.0209,0.8503,1.4924,0.2778,0,0,0,0,0,38.53554039
100,35,58.769,7.6185,12.6914,12.6454,12.8607,12.953,0,0,0,0,0,10,9.946,0.054,6.236815472,3.731,15,5,62.5,58.769,3.731,0.35,4.8815,0.1914,0.1454,0.3607,0.453,0,0,0,0,0,19.69629024
100,35,48.0663,4.8167,8.5628,10.3765,12.628,11.6823,0,0,0,0,0,10,9.894,0.106,5.203026703,14.4337,15,5,62.5,48.0663,14.4337,0.35,7.6833,3.9372,2.1235,0.128,0.8177,0,0,0,0,0,32.08842404
100,35,52.2249,5.9996,10.0301,12.4736,11.9685,11.7531,0,0,0,0,0,10,9.913,0.087,5.628471229,10.2751,15,5,62.5,52.2249,10.2751,0.35,6.5004,2.4699,0.0264,0.5315,0.7469,0,0,0,0,0,25.36702848
100,35,54.896,4.7997,12.6584,12.258,11.6423,13.5376,0,0,0,0,0,20,20.713,0.713,5.905680016,7.604,15,5,62.5,54.896,7.604,0.35,7.7003,0.1584,0.242,0.8577,1.0376,0,0,0,0,0,32.08156769
100,35,43.161,3.3582,10.7993,8.7073,10.4199,9.8763,0,0,0,0,0,20,20.351,0.351,4.863087638,19.339,15,5,62.5,43.161,19.339,0.35,9.1418,1.7007,3.7927,2.0801,2.6237,0,0,0,0,0,35.35688396
100,35,49.0431,5.9073,10.3686,10.8301,10.6455,11.2916,0,0,0,0,0,20,20.481,0.481,5.180117447,13.4569,15,5,62.5,49.0431,13.4569,0.35,6.5927,2.1314,1.6699,1.8545,1.2084,0,0,0,0,0,22.49686235
100,35,50.8587,4.9733,10.3572,11.3771,12.0862,12.0649,0,0,0,0,0,20,20.756,0.756,5.480673795,11.6413,15,5,62.5,50.8587,11.6413,0.35,7.5267,2.1428,1.1229,0.4138,0.4351,0,0,0,0,0,29.39511744
100,35,47.4742,7.2611,10.1532,9.7842,9.261,11.0147,0,0,0,0,0,30,30.592,0.592,4.868370801,15.0258,15,5,62.5,47.4742,15.0258,0.35,5.2389,2.3468,2.7158,3.239,1.4853,0,0,0,0,0,14.7743647
100,35,48.9062,3.9864,11.5845,11.6645,11.4775,10.1933,0,0,0,0,0,30,30.417,0.417,5.605406243,13.5938,15,5,62.5,48.9062,13.5938,0.35,8.5136,0.9155,0.8355,1.0225,2.3067,0,0,0,0,0,33.6859956
100,35,37.9133,6.1802,10.0863,9.9285,11.7183,10.1933,0,0,0,0,0,30,20.613,9.387,5.197461406,24.5867,15,4,50,37.9133,12.0867,0.35,6.3198,2.4137,2.5715,0.7817,2.3067,0,0,0,0,0,24.71840222
100,35,50.8587,4.9733,10.3572,11.3771,12.0862,12.0649,0,0,0,0,0,30,30.578,0.578,5.480673795,11.6413,15,5,62.5,50.8587,11.6413,0.35,7.5267,2.1428,1.1229,0.4138,0.4351,0,0,0,0,0,29.39511744
100,35,53.6513,7.277,11.2371,11.4519,11.5584,12.1269,0,0,0,0,0,40,41.553,1.553,5.616755849,8.8487,15,5,62.5,53.6513,8.8487,0.35,5.223,1.2629,1.0481,0.9416,0.3731,0,0,0,0,0,18.24985181
100,35,54.189,5.967,11.9339,12.2717,12.1951,11.8213,0,0,0,0,0,40,40.925,0.925,5.893759983,8.311,15,5,62.5,54.189,8.311,0.35,6.533,0.5661,0.2283,0.3049,0.6787,0,0,0,0,0,25.18121915
100,35,52.0717,4.9381,12.0037,11.0672,11.6334,12.4293,0,0,0,0,0,40,40.561,0.561,5.608912962,10.4283,15,5,62.5,52.0717,10.4283,0.35,7.5619,0.4963,1.4328,0.8666,0.0707,0,0,0,0,0,29.78509883
100,35,52.5428,5.448,11.7483,11.4078,11.9182,12.0205,0,0,0,0,0,40,41.057,1.057,5.672674564,9.9572,15,5,62.5,52.5428,9.9572,0.35,7.052,0.7517,1.0922,0.5818,0.4795,0,0,0,0,0,27.0111341
100,39,53.9702,7.9399,11.8054,11.3876,11.7109,11.1264,0,0,0,0,0,40,40.44,0.44,5.758445061,8.5298,14,5,62.5,53.9702,8.5298,0.39,4.5601,0.6946,1.1124,0.7891,1.3736,0,0,0,0,0,14.99023821
100,39,57.417,9.9021,11.6284,11.8109,11.4476,12.628,0,0,0,0,0,40,40.143,0.143,5.925804046,5.083,14,5,62.5,57.417,5.083,0.39,2.5979,0.8716,0.6891,1.0524,0.128,0,0,0,0,0,8.642863191
100,39,57.0976,7.4268,12.2711,12.0133,12.4578,12.9286,0,0,0,0,0,40,10.357,29.643,6.005067466,5.4024,14,5,62.5,57.0976,5.4024,0.39,5.0732,0.2289,0.4867,0.0422,0.4286,0,0,0,0,0,19.76378649
125,39,56.9396,11.0743,12.0147,11.1792,11.492,11.1794,0,0,0,0,0,40,39.001,0.999,6.034976198,5.5604,20,5,62.5,56.9396,5.5604,0.312,1.4257,0.4853,1.3208,1.008,1.3206,0,0,0,0,0,3.36988954
125,39,56.0515,10.3431,12.1991,11.0744,11.5692,10.8657,0,0,0,0,0,40,39.826,0.174,5.973113161,6.4485,20,5,62.5,56.0515,6.4485,0.312,2.1569,0.3009,1.4256,0.9308,1.6343,0,0,0,0,0,6.301007883
125,39,55.6854,9.7163,10.9703,12.2233,10.6561,12.1194,0,0,0,0,0,40,39.517,0.483,5.775238241,6.8146,20,5,62.5,55.6854,6.8146,0.312,2.7837,1.5297,0.2767,1.8439,0.3806,0,0,0,0,0,9.441423457
