total_height_deviation,Angle_dev (deg),Max Span (mm),layer_height_cv,Layer 1 Deviation (mm),Layer 2 Deviation (mm),Layer 3 Deviation (mm),Layer 4 Deviation (mm),Layer 5 Deviation (mm),Layer 6 Deviation (mm),Layer 7 Deviation (mm),Layer 8 Deviation (mm),Layer 9 Deviation (mm),Layer 10 Deviation (mm),layer_var,Combined_Metric,Normalized_Score,Print_Quality
15.0118,0.0,14,5.420015717,2.6372,1.8266,1.5032,1.2519,1.4843,1.5932,1.8825,1.2432,1.3054,0.2843,0.632268298,10.0,10.0,Bad Print
15.4107,0.0,14,4.995564399,2.6371,1.8265,1.5031,1.2517,1.4842,1.5931,1.8824,1.2431,1.5053,0.4842,0.580282529,10.0,10.0,Bad Print
15.5127,0.0,14,5.000218341,2.6473,1.8367,1.5133,1.2619,1.4944,1.6033,1.8926,1.2533,1.5155,0.4944,0.580282529,10.0,10.0,Bad Print
15.2308,0.0,14,5.012948153,2.6271,1.8165,1.4831,1.2318,1.4642,1.5731,1.8624,1.2231,1.4853,0.4642,0.583233973,10.0,10.0,Bad Print
15.4122,0.0,14,4.995475052,2.6373,1.8263,1.5033,1.2518,1.4844,1.5933,1.8826,1.2433,1.5055,0.4844,0.580264864,10.0,10.0,Bad Print
6.3003,0.13,15,38.53554039,8.9417,0.0209,0.8503,1.4924,0.2778,0.0,0.0,0.0,0.0,0.0,6.461003139,12.3135121243955,48.595493793806746,Good Print
3.731,0.054,15,19.69629024,4.8815,0.1914,0.1454,0.3607,0.453,0.0,0.0,0.0,0.0,0.0,6.236815472,10.357511373183598,15.96423413537471,Average Print
14.4337,0.106,15,32.08842404,7.6833,3.9372,2.1235,0.128,0.8177,0.0,0.0,0.0,0.0,0.0,5.203026703,11.93121028160198,42.21768913684884,Good Print
10.2751,0.087,15,25.36702848,6.5004,2.4699,0.0264,0.5315,0.7469,0.0,0.0,0.0,0.0,0.0,5.628471229,11.112184760566798,28.55417984257952,Average Print
7.604,0.713,15,32.08156769,7.7003,0.1584,0.242,0.8577,1.0376,0.0,0.0,0.0,0.0,0.0,5.905680016,11.75050997441496,39.20313066056774,Good Print
19.339,0.351,15,35.35688396,9.1418,1.7007,3.7927,2.0801,2.6237,0.0,0.0,0.0,0.0,0.0,4.863087638,12.443305654369684,50.76079274675857,Good Print
13.4569,0.481,15,22.49686235,6.5927,2.1314,1.6699,1.8545,1.2084,0.0,0.0,0.0,0.0,0.0,5.180117447,11.062316454489538,27.72224476110013,Average Print
11.6413,0.756,15,29.39511744,7.5267,2.1428,1.1229,0.4138,0.4351,0.0,0.0,0.0,0.0,0.0,5.480673795,11.636293703357907,37.297701536488226,Good Print
15.0258,0.592,15,14.7743647,5.2389,2.3468,2.7158,3.239,1.4853,0.0,0.0,0.0,0.0,0.0,4.868370801,10.455541712163832,17.599639154358556,Average Print
13.5938,0.417,15,33.6859956,8.5136,0.9155,0.8355,1.0225,2.3067,0.0,0.0,0.0,0.0,0.0,5.605406243,12.033777919930717,43.928788295059036,Good Print
11.6413,0.578,15,29.39511744,7.5267,2.1428,1.1229,0.4138,0.4351,0.0,0.0,0.0,0.0,0.0,5.480673795,11.610434612173337,36.86630358408358,Good Print
8.8487,1.553,15,18.24985181,5.223,1.2629,1.0481,0.9416,0.3731,0.0,0.0,0.0,0.0,0.0,5.616755849,10.607271784367759,20.130897581029075,Average Print
8.311,0.925,15,25.18121915,6.533,0.5661,0.2283,0.3049,0.6787,0.0,0.0,0.0,0.0,0.0,5.893759983,11.104052047961643,28.41850471230066,Average Print
10.4283,0.561,15,29.78509883,7.5619,0.4963,1.4328,0.8666,0.0707,0.0,0.0,0.0,0.0,0.0,5.608912962,11.561689365647391,36.05310410268413,Average Print
9.9572,1.057,15,27.0111341,7.052,0.7517,1.0922,0.5818,0.4795,0.0,0.0,0.0,0.0,0.0,5.672674564,11.368381050739625,32.82821075129815,Average Print
8.5298,0.44,14,14.99023821,4.5601,0.6946,1.1124,0.7891,1.3736,0.0,0.0,0.0,0.0,0.0,5.758445061,10.239314403748585,13.992396446619221,Average Print
5.083,0.143,14,8.642863191,2.5979,0.8716,0.6891,1.0524,0.128,0.0,0.0,0.0,0.0,0.0,5.925804046,10.0,10.0,Bad Print
5.4024,29.643,14,19.76378649,5.0732,0.2289,0.4867,0.0422,0.4286,0.0,0.0,0.0,0.0,0.0,6.005067466,14.795403601788847,90.0,Good Print
5.5604,0.999,20,3.36988954,1.4257,0.4853,1.3208,1.008,1.3206,0.0,0.0,0.0,0.0,0.0,6.034976198,10.0,10.0,Bad Print
6.4485,0.174,20,6.301007883,2.1569,0.3009,1.4256,0.9308,1.6343,0.0,0.0,0.0,0.0,0.0,5.973113161,10.0,10.0,Bad Print
6.8146,0.483,20,9.441423457,2.7837,1.5297,0.2767,1.8439,0.3806,0.0,0.0,0.0,0.0,0.0,5.775238241,10.0,10.0,Bad Print
